t,f,m,y,InputActivityRatio,l,YearSplit,r,RateOfActivity,UseByTechnology
PWRCOA,COA,1,2025,3.0,S11,0.45,RE1,57.6435,77.8187
PWRCOA,COA,1,2026,3.0,S11,0.45,RE1,59.9902,80.9868
PWRCOA,COA,1,2027,3.0,S11,0.45,RE1,55.8736,75.4294
PWRCOA,COA,1,2028,3.0,S11,0.45,RE1,50.0674,67.591
PWRCOA,COA,1,2029,3.0,S11,0.45,RE1,44.2611,59.7525
PWRCOA,COA,1,2030,3.0,S11,0.45,RE1,21.5244,29.0579
PWRCOA,COA,1,2031,3.0,S11,0.45,RE1,23.8711,32.226
PWRCOA,COA,1,2032,3.0,S11,0.45,RE1,24.4178,32.964
PWRCOA,COA,1,2033,3.0,S11,0.45,RE1,25.1467,33.948
PWRCOA,COA,1,2034,3.0,S11,0.45,RE1,25.6933,34.686
PWRCOA,COA,1,2035,3.0,S11,0.45,RE1,26.4222,35.67
PWRGAS,GAS,1,2020,2.0,S11,2.0,RE1,0.0,0.0
PWRGAS,GAS,1,2021,2.0,S11,2.0,RE1,0.0,0.0
PWRGAS,GAS,1,2022,2.0,S11,2.0,RE1,0.0,0.0
PWRGAS,GAS,1,2023,2.0,S11,2.0,RE1,0.0,0.0
PWRGAS,GAS,1,2024,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2025,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2026,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2027,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2028,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2029,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2030,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2031,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2032,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2033,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2034,2.0,S11,0.45,RE1,0.0,0.0
PWRGAS,GAS,1,2035,2.0,S11,0.45,RE1,0.0,0.0
PWRHYD,HYD,1,2020,1.0,S11,2.0,RE1,9.4608,18.9216
PWRHYD,HYD,1,2021,1.0,S11,2.0,RE1,9.4608,18.9216
PWRHYD,HYD,1,2022,1.0,S11,2.0,RE1,9.4608,18.9216
PWRHYD,HYD,1,2023,1.0,S11,2.0,RE1,9.4608,18.9216
PWRHYD,HYD,1,2024,1.0,S11,0.45,RE1,9.4608,4.2574
PWRHYD,HYD,1,2025,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2026,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2027,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2028,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2029,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2030,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2031,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2032,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2033,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2034,1.0,S11,0.45,RE1,14.1912,6.386
PWRHYD,HYD,1,2035,1.0,S11,0.45,RE1,14.1912,6.386
PWRSOL,SOL,1,2020,1.0,S11,2.0,RE1,0.0,0.0
PWRSOL,SOL,1,2021,1.0,S11,2.0,RE1,0.0,0.0
PWRSOL,SOL,1,2022,1.0,S11,2.0,RE1,0.0,0.0
PWRSOL,SOL,1,2023,1.0,S11,2.0,RE1,7.0956,14.1912
PWRSOL,SOL,1,2024,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2025,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2026,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2027,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2028,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2029,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2030,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2031,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2032,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2033,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2034,1.0,S11,0.45,RE1,7.0956,3.193
PWRSOL,SOL,1,2035,1.0,S11,0.45,RE1,7.0956,3.193
PWRTRN,ELC001,1,2020,1.1,S11,2.0,RE1,16.0,35.2
PWRTRN,ELC001,1,2021,1.1,S11,2.0,RE1,16.48,36.256
PWRTRN,ELC001,1,2022,1.1,S11,2.0,RE1,16.8,36.96
PWRTRN,ELC001,1,2023,1.1,S11,2.0,RE1,17.28,38.016
PWRTRN,ELC001,1,2024,1.1,S11,0.45,RE1,78.2222,38.72
PWRTRN,ELC001,1,2025,1.1,S11,0.45,RE1,80.3556,39.776
PWRTRN,ELC001,1,2026,1.1,S11,0.45,RE1,82.4889,40.832
PWRTRN,ELC001,1,2027,1.1,S11,0.45,RE1,84.6222,41.888
PWRTRN,ELC001,1,2028,1.1,S11,0.45,RE1,86.7556,42.944
PWRTRN,ELC001,1,2029,1.1,S11,0.45,RE1,88.8889,44.0
PWRTRN,ELC001,1,2030,1.1,S11,0.45,RE1,91.0222,45.056
PWRTRN,ELC001,1,2031,1.1,S11,0.45,RE1,93.1556,46.112
PWRTRN,ELC001,1,2032,1.1,S11,0.45,RE1,95.2889,47.168
PWRTRN,ELC001,1,2033,1.1,S11,0.45,RE1,98.1333,48.576
PWRTRN,ELC001,1,2034,1.1,S11,0.45,RE1,100.2667,49.632
PWRTRN,ELC001,1,2035,1.1,S11,0.45,RE1,103.1111,51.04
PWRWND,WND,1,2020,1.0,S11,2.0,RE1,8.1392,16.2784
PWRWND,WND,1,2021,1.0,S11,2.0,RE1,8.6672,17.3344
PWRWND,WND,1,2022,1.0,S11,2.0,RE1,9.0192,18.0384
PWRWND,WND,1,2023,1.0,S11,2.0,RE1,2.4516,4.9032
PWRWND,WND,1,2024,1.0,S11,0.45,RE1,9.4608,4.2574
PWRWND,WND,1,2025,1.0,S11,0.45,RE1,9.4608,4.2574
PWRWND,WND,1,2026,1.0,S11,0.45,RE1,9.4608,4.2574
PWRWND,WND,1,2027,1.0,S11,0.45,RE1,15.924,7.1658
PWRWND,WND,1,2028,1.0,S11,0.45,RE1,24.0769,10.8346
PWRWND,WND,1,2029,1.0,S11,0.45,RE1,32.2299,14.5035
PWRWND,WND,1,2030,1.0,S11,0.45,RE1,57.3132,25.7909
PWRWND,WND,1,2031,1.0,S11,0.45,RE1,57.3132,25.7909
PWRWND,WND,1,2032,1.0,S11,0.45,RE1,59.1132,26.6009
PWRWND,WND,1,2033,1.0,S11,0.45,RE1,61.5132,27.6809
PWRWND,WND,1,2034,1.0,S11,0.45,RE1,63.3132,28.4909
PWRWND,WND,1,2035,1.0,S11,0.45,RE1,65.7132,29.5709
LNDBLT,LND,1,2020,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2021,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2022,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2023,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2024,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2025,1.0,S12,0.22,RE1,52.7273,11.6
LNDBLT,LND,1,2026,1.0,S12,0.22,RE1,54.0909,11.9
LNDBLT,LND,1,2027,1.0,S12,0.22,RE1,55.9091,12.3
LNDBLT,LND,1,2028,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2029,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2030,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2031,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2032,1.0,S12,0.22,RE1,65.0,14.3
LNDBLT,LND,1,2033,1.0,S12,0.22,RE1,66.8182,14.7
LNDBLT,LND,1,2034,1.0,S12,0.22,RE1,0.0,0.0
LNDBLT,LND,1,2035,1.0,S12,0.22,RE1,70.9091,15.6
LNDBLT,WTRPRC,1,2020,1.2,S12,0.22,RE1,0.0,0.0
LNDBLT,WTRPRC,1,2021,1.2,S12,0.22,RE1,0.0,0.0
